SLR (m), Pchng (cm), pi, N_d, SD, SE
0.12,0.3,0.4,2.09,1.477,0.104
0.12,0.3,0.5,1.94,1.434,0.101
0.14,0.3,0.1,3.24,1.751,0.124
0.14,0.3,0.2,2.91,1.678,0.119
0.14,0.3,0.3,2.64,1.635,0.116
0.14,0.3,0.4,2.425,1.59,0.112
0.14,0.3,0.5,2.245,1.525,0.108
0.16,0.3,0.1,3.6,1.876,0.133
0.16,0.3,0.2,3.17,1.699,0.12
0.16,0.3,0.3,2.96,1.671,0.118
0.16,0.3,0.4,2.725,1.632,0.115
0.16,0.3,0.5,2.56,1.597,0.113
0.18,0.3,0.1,3.94,1.94,0.137
0.18,0.3,0.2,3.505,1.824,0.129
0.18,0.3,0.3,3.2,1.704,0.121
0.18,0.3,0.4,3.04,1.674,0.118
0.18,0.3,0.5,2.81,1.642,0.116
0.2,0.3,0.1,4.395,2.11,0.149
0.2,0.3,0.2,3.83,1.939,0.137
0.2,0.3,0.3,3.54,1.845,0.13
0.2,0.3,0.4,3.285,1.766,0.125
0.2,0.3,0.5,3.13,1.705,0.121
0.22,0.3,0.1,4.79,2.189,0.155
0.22,0.3,0.2,4.215,2.005,0.142
0.22,0.3,0.3,3.83,1.939,0.137
0.22,0.3,0.4,3.59,1.86,0.132
0.22,0.3,0.5,3.35,1.762,0.125
0.24,0.3,0.1,5.315,2.285,0.162
0.24,0.3,0.2,4.6,2.148,0.152
0.24,0.3,0.3,4.215,2.005,0.142
0.24,0.3,0.4,3.895,1.953,0.138
0.24,0.3,0.5,3.655,1.885,0.133
0.26,0.3,0.1,5.885,2.379,0.168
0.26,0.3,0.2,5.025,2.231,0.158
0.26,0.3,0.3,4.6,2.148,0.152
0.26,0.3,0.4,4.27,2.049,0.145
0.26,0.3,0.5,3.96,1.959,0.139
0.28,0.3,0.1,6.695,2.529,0.179
0.28,0.3,0.2,5.59,2.326,0.164
0.28,0.3,0.3,5.025,2.231,0.158
0.28,0.3,0.4,4.665,2.183,0.154
0.28,0.3,0.5,4.37,2.113,0.149
0.3,0.3,0.1,7.56,2.81,0.199
0.3,0.3,0.2,6.24,2.394,0.169
0.3,0.3,0.3,5.59,2.326,0.164
0.3,0.3,0.4,5.13,2.229,0.158
0.3,0.3,0.5,4.77,2.18,0.154
0.32,0.3,0.1,8.555,3.017,0.213
0.32,0.3,0.2,7.055,2.636,0.186
0.32,0.3,0.3,6.25,2.401,0.17
0.32,0.3,0.4,5.71,2.333,0.165
0.32,0.3,0.5,5.275,2.268,0.16
0.34,0.3,0.1,9.965,3.23,0.228
0.34,0.3,0.2,8.045,2.868,0.203
0.34,0.3,0.3,7.055,2.636,0.186
0.34,0.3,0.4,6.43,2.436,0.172
0.34,0.3,0.5,5.86,2.37,0.168
0.36,0.3,0.1,11.53,3.394,0.24
0.36,0.3,0.2,9.22,3.089,0.218
0.36,0.3,0.3,8.05,2.863,0.202
0.36,0.3,0.4,7.27,2.678,0.189
0.36,0.3,0.5,6.645,2.516,0.178
0.38,0.3,0.1,13.505,3.479,0.246
0.38,0.3,0.2,10.7,3.316,0.234
0.38,0.3,0.3,9.22,3.089,0.218
0.38,0.3,0.4,8.24,2.918,0.206
0.38,0.3,0.5,7.48,2.773,0.196
0.4,0.3,0.1,15.565,3.8,0.269
0.4,0.3,0.2,12.375,3.418,0.242
0.4,0.3,0.3,10.7,3.316,0.234
0.4,0.3,0.4,9.49,3.13,0.221
0.4,0.3,0.5,8.475,2.992,0.212
0.42,0.3,0.1,18.125,4.136,0.292
0.42,0.3,0.2,14.51,3.612,0.255
0.42,0.3,0.3,12.375,3.418,0.242
0.42,0.3,0.4,10.96,3.328,0.235
0.42,0.3,0.5,9.84,3.196,0.226
0.44,0.3,0.1,20.93,4.254,0.301
0.44,0.3,0.2,16.745,4.05,0.286
0.44,0.3,0.3,14.51,3.612,0.255
0.44,0.3,0.4,12.8,3.434,0.243
0.44,0.3,0.5,11.395,3.402,0.241
0.46,0.3,0.1,23.905,4.718,0.334
0.46,0.3,0.2,19.48,4.147,0.293
0.46,0.3,0.3,16.745,4.05,0.286
0.46,0.3,0.4,14.905,3.702,0.262
0.46,0.3,0.5,13.335,3.496,0.247
0.48,0.3,0.1,27.035,5.247,0.371
0.48,0.3,0.2,22.2,4.486,0.317
0.48,0.3,0.3,19.485,4.15,0.293
0.48,0.3,0.4,17.205,4.044,0.286
0.48,0.3,0.5,15.46,3.766,0.266
0.5,0.3,0.1,30.36,5.215,0.369
0.5,0.3,0.2,25.305,4.835,0.342
0.5,0.3,0.3,22.2,4.486,0.317
0.5,0.3,0.4,20.015,4.199,0.297
0.5,0.3,0.5,17.96,4.131,0.292
0,0.4,0.1,1.72,1.368,0.097
0,0.4,0.2,1.435,1.258,0.089
0,0.4,0.3,1.285,1.209,0.085
0,0.4,0.4,1.165,1.164,0.082
0,0.4,0.5,1.065,1.143,0.081
0.02,0.4,0.1,1.995,1.412,0.1
0.02,0.4,0.2,1.63,1.32,0.093
0.02,0.4,0.3,1.475,1.256,0.089
0.02,0.4,0.4,1.355,1.236,0.087
0.02,0.4,0.5,1.255,1.165,0.082
0.04,0.4,0.1,2.27,1.513,0.107
0.04,0.4,0.2,1.875,1.418,0.1
0.04,0.4,0.3,1.65,1.321,0.093
0.04,0.4,0.4,1.505,1.264,0.089
0.04,0.4,0.5,1.415,1.245,0.088
0.06,0.4,0.1,2.575,1.571,0.111
0.06,0.4,0.2,2.195,1.486,0.105
0.06,0.4,0.3,1.945,1.436,0.102
0.06,0.4,0.4,1.77,1.359,0.096
0.06,0.4,0.5,1.61,1.318,0.093
0.08,0.4,0.1,2.865,1.64,0.116
0.08,0.4,0.2,2.51,1.591,0.113
0.08,0.4,0.3,2.255,1.524,0.108
0.08,0.4,0.4,2.025,1.444,0.102
0.08,0.4,0.5,1.875,1.407,0.099
0.1,0.4,0.1,3.145,1.702,0.12
0.1,0.4,0.2,2.825,1.646,0.116
0.1,0.4,0.3,2.565,1.603,0.113
0.1,0.4,0.4,2.345,1.555,0.11
0.1,0.4,0.5,2.175,1.495,0.106
0.12,0.4,0.1,3.46,1.815,0.128
0.12,0.4,0.2,3.06,1.667,0.118
0.12,0.4,0.3,2.86,1.66,0.117
0.12,0.4,0.4,2.645,1.625,0.115
0.12,0.4,0.5,2.48,1.598,0.113
0.14,0.4,0.1,3.84,1.911,0.135
0.14,0.4,0.2,3.415,1.808,0.128
0.14,0.4,0.3,3.12,1.703,0.12
0.14,0.4,0.4,2.96,1.671,0.118
0.14,0.4,0.5,2.745,1.653,0.117
0.16,0.4,0.1,4.315,2.083,0.147
0.16,0.4,0.2,3.755,1.917,0.136
0.16,0.4,0.3,3.48,1.821,0.129
0.16,0.4,0.4,3.225,1.735,0.123
0.16,0.4,0.5,3.065,1.681,0.119
0.18,0.4,0.1,4.745,2.178,0.154
0.18,0.4,0.2,4.17,1.97,0.139
0.18,0.4,0.3,3.79,1.914,0.135
0.18,0.4,0.4,3.565,1.839,0.13
0.18,0.4,0.5,3.325,1.739,0.123
0.2,0.4,0.1,5.355,2.284,0.161
0.2,0.4,0.2,4.615,2.154,0.152
0.2,0.4,0.3,4.225,1.999,0.141
0.2,0.4,0.4,3.9,1.957,0.138
0.2,0.4,0.5,3.665,1.884,0.133
0.22,0.4,0.1,5.93,2.378,0.168
0.22,0.4,0.2,5.045,2.222,0.157
0.22,0.4,0.3,4.615,2.154,0.152
0.22,0.4,0.4,4.28,2.04,0.144
0.22,0.4,0.5,3.97,1.939,0.137
0.24,0.4,0.1,6.75,2.55,0.18
0.24,0.4,0.2,5.63,2.322,0.164
0.24,0.4,0.3,5.045,2.222,0.157
0.24,0.4,0.4,4.685,2.186,0.155
0.24,0.4,0.5,4.38,2.097,0.148
0.26,0.4,0.1,7.645,2.816,0.199
0.26,0.4,0.2,6.28,2.392,0.169
0.26,0.4,0.3,5.63,2.322,0.164
0.26,0.4,0.4,5.15,2.23,0.158
